,number,address,banking,bike_stands,name,position_lat,position_lng
27,28,Mountjoy Square West,0,30,MOUNTJOY SQUARE WEST,53.3563,-6.25859
28,29,Ormond Quay Upper,0,29,ORMOND QUAY UPPER,53.3461,-6.268
29,30,Parnell Square North,0,20,PARNELL SQUARE NORTH,53.3537,-6.2653
30,31,Parnell Street,0,20,PARNELL STREET,53.3509,-6.26512
31,32,Pearse Street,0,30,PEARSE STREET,53.3443,-6.25043
32,33,Princes Street / O'Connell Street,0,23,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031
33,34,Portobello Harbour,0,30,PORTOBELLO HARBOUR,53.3304,-6.26516
34,35,Smithfield,0,30,SMITHFIELD,53.3477,-6.27821
35,36,St. Stephen's Green East,0,40,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603
36,37,St. Stephen's Green South,0,30,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199
37,38,Talbot Street,0,40,TALBOT STREET,53.351,-6.25294
38,39,Wilton Terrace,0,20,WILTON TERRACE,53.3324,-6.25272
39,40,Jervis Street,0,21,JERVIS STREET,53.3483,-6.26665
40,41,Harcourt Terrace,0,20,HARCOURT TERRACE,53.3328,-6.25794
41,42,Smithfield North,0,30,SMITHFIELD NORTH,53.3496,-6.2782
42,43,Portobello Road,0,30,PORTOBELLO ROAD,53.3301,-6.26804
43,44,Upper Sherrard Street,0,30,UPPER SHERRARD STREET,53.3584,-6.26064
44,45,Deverell Place,0,30,DEVERELL PLACE,53.3515,-6.25527
45,47,Herbert Street,0,40,HERBERT STREET,53.3357,-6.24551
46,48,Excise Walk,0,40,EXCISE WALK,53.3478,-6.24424
47,49,Guild Street,0,40,GUILD STREET,53.3479,-6.24093
48,50,George's Lane,0,40,GEORGES LANE,53.3502,-6.2797
49,51,York Street West,0,40,YORK STREET WEST,53.3393,-6.2647
50,52,York Street East,0,32,YORK STREET EAST,53.3388,-6.262
51,53,Newman House,0,40,NEWMAN HOUSE,53.3371,-6.26059
52,54,Clonmel Street,0,33,CLONMEL STREET,53.336,-6.26298
53,55,Hatch Street,0,36,HATCH STREET,53.334,-6.26071
54,56,Mount Street Lower,0,40,MOUNT STREET LOWER,53.338,-6.24153
55,57,Grattan Street,0,23,GRATTAN STREET,53.3396,-6.24378
56,58,Sir Patrick's Dun,0,40,SIR PATRICK DUN'S,53.3392,-6.24064
57,59,Denmark Street Great,0,20,DENMARK STREET GREAT,53.3556,-6.2614
58,60,North Circular Road,0,30,NORTH CIRCULAR ROAD,53.3596,-6.26035
59,61,Hardwicke Place,0,25,HARDWICKE PLACE,53.357,-6.26323
60,62,Lime Street,0,40,LIME STREET,53.346,-6.24358
61,63,Fenian Street,0,35,FENIAN STREET,53.3414,-6.24672
62,64,Sandwith Street,0,40,SANDWITH STREET,53.3452,-6.24716
