number,address,banking,bike_stands,name,position_lat,position_lng
100,Heuston Bridge (South),0,25,HEUSTON BRIDGE (SOUTH),53.3471,-6.29204
101,King Street North,0,30,KING STREET NORTH,53.3503,-6.27351
102,Western Way,0,40,WESTERN WAY,53.3549,-6.26942
103,Grangegorman Lower (South),0,40,GRANGEGORMAN LOWER (SOUTH),53.3547,-6.27868
104,Grangegorman Lower (Central),0,40,GRANGEGORMAN LOWER (CENTRAL),53.3552,-6.27842
105,Grangegorman Lower (North),0,36,GRANGEGORMAN LOWER (NORTH),53.356,-6.27838
106,Rathdown Road,0,40,RATHDOWN ROAD,53.3589,-6.28034
107,Charleville Road,0,40,CHARLEVILLE ROAD,53.3592,-6.28187
108,Avondale Road,0,35,AVONDALE ROAD,53.3594,-6.27614
109,Buckingham Street Lower,0,29,BUCKINGHAM STREET LOWER,53.3533,-6.24932
110,Phibsborough Road,0,40,PHIBSBOROUGH ROAD,53.3563,-6.27372
111,Mountjoy Square East,0,40,MOUNTJOY SQUARE EAST,53.3567,-6.25636
112,North Circular Road (O'Connell's),0,30,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156
113,Merrion Square South,0,40,MERRION SQUARE SOUTH,53.3386,-6.24861
114,Wilton Terrace (Park),0,40,WILTON TERRACE (PARK),53.3337,-6.24834
115,Killarney Street,0,30,KILLARNEY STREET,53.3548,-6.24758
116,Broadstone,0,30,BROADSTONE,53.3547,-6.27231
117,Hanover Quay East,0,40,HANOVER QUAY EAST,53.3437,-6.23175
