time,temperature_celsius,relative_humidity_percent,barometric_pressure_hpa,is_holiday,is_weekend,available_bikes,available_docks,hour_sin,hour_cos
2024-12-01 00:00:00,13.87,85.23,1002.37,0.0,1.0,27.0,5.0,0.0,1.0
2024-12-01 01:00:00,13.53,87.43,1001.77,0.0,1.0,27.0,5.0,0.269797,0.962917
2024-12-01 02:00:00,13.64,86.76,1001.5,0.0,1.0,27.0,5.0,0.519584,0.854419
2024-12-01 03:00:00,13.39,86.19,1000.96,0.0,1.0,27.0,5.0,0.730836,0.682553
2024-12-01 04:00:00,13.0,86.66,1000.49,0.0,1.0,27.0,5.0,0.887885,0.460065
2024-12-01 05:00:00,12.25,88.14,1000.22,0.0,1.0,27.0,5.0,0.979084,0.203456
2024-12-01 06:00:00,12.25,88.14,1000.22,0.0,1.0,27.0,5.0,0.997669,-0.068242
2024-12-01 07:00:00,11.8,86.78,1000.34,0.0,1.0,31.0,1.0,0.942261,-0.33488
2024-12-01 08:00:00,11.8,86.78,1000.34,0.0,1.0,31.0,1.0,0.81697,-0.57668
2024-12-01 09:00:00,12.17,87.61,1000.44,0.0,1.0,32.0,0.0,0.631088,-0.775711
2024-12-01 10:00:00,12.79,83.66,1000.56,0.0,1.0,32.0,0.0,0.398401,-0.917211
2024-12-01 11:00:00,13.55,78.37,1000.6,0.0,1.0,32.0,0.0,0.136167,-0.990686
2024-12-01 12:00:00,12.85,80.96,1000.62,0.0,1.0,31.0,1.0,-0.136167,-0.990686
2024-12-01 13:00:00,12.77,80.18,1000.27,0.0,1.0,24.0,8.0,-0.398401,-0.917211
2024-12-01 14:00:00,12.37,83.14,1000.14,0.0,1.0,24.0,8.0,-0.631088,-0.775711
2024-12-01 15:00:00,12.06,86.08,1000.15,0.0,1.0,27.0,5.0,-0.81697,-0.57668
2024-12-01 16:00:00,11.03,92.54,1000.48,0.0,1.0,28.0,4.0,-0.942261,-0.33488
2024-12-01 17:00:00,9.85,93.3,1001.2,0.0,1.0,28.0,4.0,-0.997669,-0.068242
2024-12-01 18:00:00,9.51,92.26,1001.5,0.0,1.0,28.0,4.0,-0.979084,0.203456
2024-12-01 19:00:00,8.53,90.72,1001.83,0.0,1.0,27.0,5.0,-0.887885,0.460065
2024-12-01 20:00:00,8.53,90.72,1001.83,0.0,1.0,27.0,5.0,-0.730836,0.682553
2024-12-01 21:00:00,8.82,89.25,1001.73,0.0,1.0,24.0,8.0,-0.519584,0.854419
2024-12-01 22:00:00,8.98,88.77,1001.74,0.0,1.0,24.0,8.0,-0.269797,0.962917
2024-12-01 23:00:00,8.76,92.14,1002.71,0.0,1.0,24.0,8.0,-0.0,1.0
2024-12-02 00:00:00,8.52,94.12,1003.25,0.0,0.0,22.0,10.0,0.0,1.0
2024-12-02 01:00:00,8.43,89.61,1003.94,0.0,0.0,22.0,10.0,0.269797,0.962917
2024-12-02 02:00:00,8.04,91.29,1004.79,0.0,0.0,22.0,10.0,0.519584,0.854419
2024-12-02 03:00:00,7.59,88.56,1005.5,0.0,0.0,22.0,10.0,0.730836,0.682553
2024-12-02 04:00:00,7.59,88.56,1005.5,0.0,0.0,22.0,10.0,0.887885,0.460065
2024-12-02 05:00:00,6.31,85.55,1007.56,0.0,0.0,22.0,10.0,0.979084,0.203456
2024-12-02 06:00:00,6.51,83.2,1008.37,0.0,0.0,6.0,26.0,0.997669,-0.068242
2024-12-02 07:00:00,5.21,86.63,1009.42,0.0,0.0,10.0,22.0,0.942261,-0.33488
2024-12-02 08:00:00,4.64,87.96,1010.63,0.0,0.0,11.0,21.0,0.81697,-0.57668
2024-12-02 09:00:00,4.64,87.21,1011.79,0.0,0.0,14.0,18.0,0.631088,-0.775711
2024-12-02 10:00:00,5.43,80.61,1012.6,0.0,0.0,14.0,18.0,0.398401,-0.917211
2024-12-02 11:00:00,6.11,73.55,1013.09,0.0,0.0,15.0,17.0,0.136167,-0.990686
2024-12-02 12:00:00,6.11,73.55,1013.09,0.0,0.0,15.0,17.0,-0.136167,-0.990686
2024-12-02 13:00:00,6.12,69.26,1014.08,0.0,0.0,20.0,12.0,-0.398401,-0.917211
2024-12-02 14:00:00,5.9,68.68,1014.25,0.0,0.0,19.0,13.0,-0.631088,-0.775711
